Category,Phrases,Number of Words,Total Number of Letters,First Word Letters
People,Beautiful Hollywood Starlets,3,26,9
People,Beautiful Hostess,2,16,9
People,Beautiful Women,2,14,9
People,Beauty Pageant Contestants,3,24,6
People,Beef Tenderloin & Mashed Potatoes,4,28,4
People,Beginning Birder,2,15,9
People,Bell Ringers,2,11,4
People,Belly Dancers,2,12,5
People,Beloved Entertainers,2,19,7
People,Beloved Icon,2,11,7
People,Best Buddies,2,11,4
People,Best Friends,2,11,4
People,Best Friends For Life,4,18,4
People,Best Man & Maid Of Honor,5,18,4
People,Best Pals,2,8,4
People,Biblical Scholars,2,16,8
People,Big Family,2,9,3
People,Bigger Kids,2,10,6
People,Biggest Touring Acts,3,18,7
People,Bilingual Residents,2,18,9
People,Bilingual Travelers,2,18,9
People,Billiard Players,2,15,8
People,Billionaires,1,12,12
People,Bird Watchers,2,12,4
People,Birdie Bikers,2,12,6
People,Birdwatchers,1,12,12
People,Birth Family,2,11,5
People,Blacktipped Reef Shark,3,20,11
People,Bloggers,1,8,8
People,Blonde-Haired Blue Eyed Men,4,23,12
People,Blonde-Haired Blue-Eyed Men,3,23,12
People,Blondes And Redheads,3,18,7
People,Blood Brothers,2,13,5
People,Blood Relatives,2,14,5
People,Blowhard,1,8,8
People,Blue-Collar Workers,2,17,10
People,Bluegrass Band,2,13,9
People,Blue-Ribbon Panel,2,15,10
People,Blustery Bosses,2,14,8
People,Board Of Alderman,3,15,5
People,Board Of Aldermen,3,15,5
People,Board Of Directors,3,16,5
People,Board Of Governors,3,16,5
People,Board Of Trustees,3,15,5
People,Bobsled Team,2,11,7
People,Bodyguards,1,10,10
People,Bongo Player,2,11,5
People,Booing Crowd,2,11,6
People,Book Club,2,8,4
People,Booster Club,2,11,7
People,Bostonians,1,10,10
People,Bowling League,2,13,7
People,Bowling Team,2,11,7
People,Boxing Legends,2,13,6
People,Boy Scout Troop,3,13,3
People,Boy Scouts,2,9,3
People,Boyfriend & Girlfriend,2,19,9
People,Boys & Girls,2,9,4
People,Boys And Men,3,10,4
People,Boys Choir,2,9,4
People,Brass Band,2,9,5
People,Brave Knights,2,12,5
People,Brave Soldiers,2,13,5
People,Brave Statesmen,2,14,5
People,Brazilians,1,10,10
People,Breadwinners,1,12,12
People,Breakout Stars,2,13,8
People,Bride & Groom,2,10,5
People,Bride And Groom,3,13,5
People,Bride-To-Be,1,9,9
People,Brightest Minds,2,14,9
People,Brilliant Young Minds,3,19,9
People,British Journalist,2,17,7
People,British Researchers,2,18,7
People,Broadway Actress,2,15,8
People,Brother & Sister,2,13,7
People,Brothers & Sisters,2,15,8
People,Brownie Troop,2,12,7
People,Buddhist Monks,2,13,8
People,Budding Artist,2,13,7
People,Buffalo Bills,2,12,7
People,Bus Passengers,2,13,3
People,Bushies,1,7,7
People,Business Colleagues,2,18,8
People,Business Community,2,17,8
People,Business Leaders,2,15,8
People,Business Owners,2,14,8
People,Business Partners,2,16,8
People,Business Travelers,2,17,8
People,Buskers,1,7,7
People,Bustling Tourists,2,16,8
People,Busy Moms,2,8,4
People,Busy Passengers,2,14,4
People,Busy Tourists,2,12,4
People,Busybody,1,8,8
People,Buyers & Sellers,2,13,6
People,Cabinet Members,2,14,7
People,Caddies,1,7,7
People,Cafeteria Workers,2,16,9
People,Californians,1,12,12
People,Calvin Harris,2,12,6
People,Calvin Klein Models,3,17,6
People,Campaign Spokesperson,2,20,8
People,Campus Police,2,12,6
People,Cancan Dancers,2,13,6
People,Candy Striper,2,12,5
People,Canyoneers,1,10,10
People,Capricorn & Pisces,2,15,9
People,Captain & First Mate,3,16,7
People,Captain & Seaman,2,13,7
People,Captain And Crew,3,14,7
People,Captain And First Mate,4,19,7
People,Captivated Spectator,2,19,10
People,Captivated Spectators,2,20,10
People,Captivating Jugglers,2,19,11
People,Captive Audience,2,15,7
People,Car Collectors,2,13,3
People,Car Owners,2,9,3
People,Card Shark,2,9,4
People,Card-Carrying Members,2,19,12
People,Carefree Crowds,2,14,8
People,Caring Siblings,2,14,6
People,Carnival Barker,2,14,8
People,Carnival Participants,2,20,8
People,Carolers,1,8,8
People,Casino Staff,2,11,6
People,Cast & Crew,2,8,4
People,Cast Of Characters,3,16,4
People,Casual Cyclists,2,14,6
People,Casual Friends,2,13,6
People,Casual Game Players,3,17,6
People,Casual Game- Players,3,17,6
People,Casual Game-Players,2,17,6
People,Casual-Game Players,2,17,10
People,Cat Lovers,2,9,3
People,Cat Owners,2,9,3
People,Catcher & Batter,2,13,7
People,Catcher & Pitcher,2,14,7
People,Cattle Ranchers,2,14,6
People,Cave Dwellers,2,12,4
People,Celebrities Who Share Your Birthday,5,31,11
People,Celebrity Chefs,2,14,9
People,Celebrity Impersonators,2,22,9
People,Celebrity Judges,2,15,9
People,Celebrity Panel,2,14,9
People,Celebrity Stylist,2,16,9
People,Celebrity Tattoo Artist,3,21,9
People,Cellmates,1,9,9
People,Celtic Singers,2,13,6
People,Certified Teachers,2,17,9
People,Certified Technicians,2,20,9
People,Chain Of Command,3,14,5
People,Champion Pro-Sports Team,3,21,8
People,Champion Pro-Sports Teams,3,22,8
People,Character Actors,2,15,9
People,Charismatic Candidates,2,21,11
People,Charismatic Leaders,2,18,11
People,Charlies Angels,2,14,8
People,Charming Children,2,16,8
People,Charming Street Entertainers,3,26,8
People,Charming Young Ladies,3,19,8
People,Chartered Members,2,16,9
People,Cheerful Children,2,16,8
People,Cheerful Locals,2,14,8
People,Cheerleaders,1,12,12
People,Cheerleaders & Sports Stars,3,23,12
People,Cheerleading Squad,2,17,12
People,Cheery Citizens,2,14,6
People,Chef Of The Year,4,13,4
People,Chemistry Students,2,17,9
People,Chess Master,2,11,5
People,Chet Atkins,2,10,4
People,Chic Models,2,10,4
People,Chicago Cubs Fans,3,15,7
People,Chief Executives,2,15,5
People,Chief Petty Officer,3,17,5
People,Child Genius,2,11,5
People,Childhood Friends,2,16,9
People,Childhood Heroes,2,15,9
People,Childhood Heros,2,14,9
People,Childhood Pals,2,13,9
People,Childhood Sweethearts,2,20,9
People,Children's Choir,2,14,9
People,Chocolate Lovers,2,15,9
People,Choir Group,2,10,5
People,Choosy Kids,2,10,6
People,Choral Bell Ringers,3,17,6
People,Chosen Few,2,9,6
People,Christians,1,10,10
People,Christmas Carolers,2,17,9
People,Chums Pals & Friends,3,16,5
People,Church Congregation,2,18,6
People,Church Members,2,13,6
People,Churchgoers,1,11,11
People,Circus Clowns,2,12,6
People,Circus Entertainers,2,18,6
People,Circus Performers,2,16,6
People,Circus Troupe,2,12,6
People,Citizens Of A Nation,4,17,8
People,City Authorities,2,15,4
People,City Council Members,3,18,4
People,City Officials,2,13,4
People,City Slickers,2,12,4
People,City Workers,2,11,4
People,Civil Aeronautics Board,3,21,5
People,Civil Rights Leaders,3,18,5
People,Civil War Buffs,3,13,5
People,Civilian Employees,2,17,8
People,Clarinet Band,2,12,8
People,Class Act,2,8,5
People,Classic Country Duos,3,18,7
People,Classmates,1,10,10
People,Cliff Divers,2,11,5
People,Clinicians,1,10,10
People,Clock Watchers,2,13,5
People,Clock- Watchers,2,13,5
People,Clockmakers,1,11,11
People,Clock-Watchers,1,13,13
People,Close Family Members,3,18,5
People,Close Friends,2,12,5
People,Close Knit Group,3,14,5
People,Close Relatives,2,14,5
People,Close-Knit Families,2,17,9
People,Close-Knit Family,2,15,9
People,Cnn News Anchors,3,14,3
People,Coaching Staff,2,13,8
People,Coast Guard,2,10,5
People,Coed Dance Team,3,13,4
People,Cohorts,1,7,7
People,Coin Collector,2,13,4
People,Coin Collectors,2,14,4
People,Colleagues & Associates,2,20,10
People,Colleagues And Associates,3,23,10
People,College Administrators,2,21,7
People,College Alumni,2,13,7
People,College Athletes,2,15,7
People,College Buddies,2,14,7
People,College Football Team,3,19,7
People,College Graduates,2,16,7
People,College Pals,2,11,7
People,College Roommates,2,16,7
People,College Rowing Team,3,17,7
People,College Students,2,15,7
People,College Sweethearts,2,18,7
People,College Wrestlers,2,16,7
People,College-Educated Employees,2,24,15
People,Colonists,1,9,9
People,Coloradoans,1,11,11
People,Colorful Characters,2,18,8
People,Colorful Storytellers,2,20,8
People,Comeback Kid,2,11,8
People,Comedians,1,9,9
People,Comedy Duo,2,9,6
People,Comedy Improv Group,3,17,6
People,Comic-Book Collectors,2,19,9
People,Commando Squad,2,13,8
People,Common Ancestors,2,15,6
People,Common Friends,2,13,6
People,Community Business Leaders,3,24,9
People,Community Leaders,2,16,9
People,Community Of Friends,3,18,9
People,Commuters Riding The Train To Work,6,29,9
People,Comparison Shoppers,2,18,10
People,Competitive Bodybuilder,2,22,11
People,Competitive Bodybuilders,2,23,11
People,Competitive Ice Skaters,3,21,11
People,Competitive Ice Skating,3,21,11
People,Complete Strangers,2,17,8
People,Composers,1,9,9
People,Composers & Lyricists,2,18,9
People,Concerned Citizens,2,17,9
People,Concertgoers,1,12,12
People,Confidantes & Comedians,2,20,11
People,Confidantes & Companions,2,21,11
People,Confucianists,1,13,13
People,Congressional Committee,2,22,13
People,Congressmen,1,11,11
People,Congresswomen,1,13,13
People,Connoisseurs,1,12,12
People,Considerate Roommate,2,19,11
People,Construction Workers,2,19,12
People,Consuls,1,7,7
People,Consumer Advocates,2,17,8
People,Contest Judges,2,13,7
People,Contributing Writers,2,19,12
People,Controversial Figures,2,20,13
People,Convention Attendees,2,19,10
People,Cool Surfers,2,11,4
People,Co-President Of The Company,4,23,11
People,Corporate Authors,2,16,9
People,Corporate Sponsors,2,17,9
People,Corporate Team,2,13,9
People,Cotton Farmers,2,13,6
People,Couch Potatoes,2,13,5
People,Council For The Arts,4,17,7
People,Council Of Elders,3,15,7
People,Councilmen,1,10,10
People,Country Music's Biggest Stars,4,25,7
People,Country-Music Legends,2,19,12
People,Country-Music's Biggest Stars,3,25,13
People,County Board Of Elections,4,22,6
People,Couples In Love,3,13,7
People,Course Graduates,2,15,6
People,Court Officials,2,14,5
People,Cousins,1,7,7
People,Cowboy & Cowgirl,2,13,6
People,Cowboys,1,7,7
People,Cowboys & Cowgirls,2,15,7
People,Cowboys And Cowgirls,3,18,7
People,Cowgirls,1,8,8
People,Coworker,1,8,8
People,Coworkers,1,9,9
People,Crack Team Of Officials,4,20,5
People,Craftsmen,1,9,9
People,Craftspeople,1,12,12
People,Creative Cohorts,2,15,8
People,Creative Students,2,16,8
People,Creative Thinkers,2,16,8
People,Creatures Of Habit,3,16,9
People,Crew Members,2,11,4
People,Cricket Team,2,11,7
People,Cro-Magnons,1,10,10
People,Crosstown Rivals,2,15,9
People,Cruise Passengers,2,16,6
People,Cub Scouts,2,9,3
People,Cuban Boxer,2,10,5
People,Cubist Painter,2,13,6
People,Culinary Masters,2,15,8
People,Culinary Students,2,16,8
People,Curious Onlookers,2,16,7
People,Cute Infant,2,10,4
People,Cute Kid,2,7,4
People,Cute Toddlers,2,12,4
People,Cutting Edge Artists,3,18,7
People,Cutting-Edge Artists,2,18,11
People,Cycling Commuters,2,16,7
People,Dads & Grandpas,2,12,4
People,Dairy Farmers,2,12,5
People,Dance Company,2,12,5
People,Dancing Dealers,2,14,7
People,Danes,1,5,5
People,Daredevil Divers,2,15,9
People,Daring & Graceful Cliff Divers,4,25,6
People,Daring Adventurers,2,17,6
People,Dark-Haired Men,2,13,10
People,Darling Daughter,2,15,7
People,Date To The Prom,4,13,4
People,Day Picnickers,2,13,3
People,Dear Friends,2,11,4
People,Decorated Army Generals,3,21,9
People,Decorated Soldiers,2,17,9
People,Dedicated Employees,2,18,9
People,Defending Champions,2,18,9
People,Defense Contractors,2,18,7
People,Defensive Line,2,13,9
People,Delighted Visitors,2,17,9
People,Delightful Children,2,18,10
People,Delightful Youngsters,2,20,10
People,Delightfully Dear Friends,3,23,12
People,Democrats & Republicans,2,20,9
People,Den Mother,2,9,3
People,Department Of Health,3,18,10
People,Desert Dwellers,2,14,6
People,Detectives & Sleuths,2,17,10
People,Determined Explorers,2,19,10
People,Devoted Tv Viewers,3,16,7
People,Different Age Group,3,17,9
People,Difficulty Judges,2,16,10
People,Digital Assistant,2,16,7
People,Dining Staff,2,11,6
People,Dinner Party Guests,3,17,6
People,Directors & Producers,2,18,9
People,Dirt Devil,2,9,4
People,Disbanded Rock Group,3,18,9
People,Discharged Patients,2,18,10
People,Disputing Parties,2,16,9
People,Distant Cousins,2,14,7
People,Distinguished Alumni,2,19,13
People,Distinguished Colleagues,2,23,13
People,Distinguished Guests,2,19,13
People,Distinguished Luminaries,2,23,13
People,Distinguished Panel Of Judges,4,26,13
People,Distinguished Veterans,2,21,13
People,Diverse Crowds,2,13,7
People,Diverse Team,2,11,7
People,Diverse Tourists,2,15,7
People,Division Champions,2,17,8
People,Dixieland Jazz Band,3,17,9
People,Dockworkers,1,11,11
People,Doctors And Lawyers,3,17,7
People,Doctors And Nurses,3,16,7
People,Documentary,1,11,11
People,Documentary Film Crew,3,19,11
People,Doers & Seers,2,10,5
People,Dog Lovers,2,9,3
People,Do-Gooder,1,8,8
People,Donators Of The Statue Of Liberty,6,28,8
People,Doo-Wop Group,2,11,6
People,Dorm Residents,2,13,4
People,Dormitory Roommates,2,18,9
People,Down-To-Earth Dubliners,2,20,11
People,Draft Board,2,10,5
People,Drama Club,2,9,5
People,Dramatists,1,10,10
People,Dreamers & Doers,2,13,8
People,Drilling Crew,2,12,8
People,Drink Vendor,2,11,5
People,Drink Vendors,2,12,5
People,Drum And Bugle Corps,4,17,4
People,Drummers & Guitar Players,3,21,8
People,Duke & Duchess,2,11,4
People,Duos & Trios,2,9,4
People,Dynamic Leaders,2,14,7
People,Eager Hopefuls,2,13,5
People,Eager Participants,2,17,5
People,Early Adopters,2,13,5
People,Early Arrivals,2,13,5
People,Early Cavemen,2,12,5
People,Early Civilizations,2,18,5
People,Early Explorers,2,14,5
People,Early Humans,2,11,5
People,Early Pioneers,2,13,5
People,Early Risers,2,11,5
People,Early Settlers,2,13,5
People,Earthlings,1,10,10
People,Eastern Shoshone Tribe,3,20,7
People,Eccentric Characters,2,19,9
People,Eclectic Community,2,17,8
People,Economists,1,10,10
People,Editorial Staff,2,14,9
People,Educated Adults,2,14,8
People,Educated Young Women,3,18,8
People,Egyptian Pharaohs,2,16,8
People,Elder Statesmen,2,14,5
People,Elected Judges,2,13,7
People,Elected Magistrates,2,18,7
People,Elected Mayor,2,12,7
People,Elected Officials,2,16,7
People,Elected Sheriff,2,14,7
People,Electoral College,2,16,9
People,Electorate,1,10,10
People,Eligible Bachelors,2,17,8
People,Eligible Contestant,2,18,8
People,Eligible Contestants,2,19,8
People,Eligible Young Men,3,16,8
People,Elite Of Society,3,14,5
People,Emergency Staff,2,14,9
People,Emerging Artists,2,15,8
People,Eminent Artists,2,14,7
People,Emmy-Nominated Actors,2,19,13
People,Empty Nesters,2,12,5
People,Energetic Contestants,2,20,9
People,Energetic Folks,2,14,9
People,Energetic Mets Fans,3,17,9
People,Energetic Millennials,2,20,9
People,Energetic Soccer Fans,3,19,9
People,Energetic Sports Fans,3,19,9
People,English Actors,2,13,7
People,Entertaining Mimes,2,17,12
People,Entertaining Street Performers,3,28,12
People,Enthusiastic Fans,2,16,12
People,Enthusiastic Learner,2,19,12
People,Enthusiastic Players,2,19,12
People,Enthusiastic Soccer Fans,3,22,12
People,Enthusiastic Staff,2,17,12
People,Epic Explorers,2,13,4
People,Equestrian Team,2,14,10
People,Escape Artist,2,12,6
People,Escape Artists,2,13,6
People,Eskimos,1,7,7
People,Espn Anchors,2,11,4
People,Esteemed Chefs,2,13,8
People,Esteemed Merchants,2,17,8
People,Etruscan Kings,2,13,8
People,European Colonists,2,17,8
People,European Leaders,2,15,8
People,European Royalty,2,15,8
People,Europeans,1,9,9
People,Everybody,1,9,9
People,Everyday Heroes,2,14,8
People,Excellent Orators,2,16,9
People,Excited & Proud New Grandparents,4,27,7
People,Excited Audience,2,15,7
People,Excited Basketball Fan,3,20,7
People,Excited Basketball Fans,3,21,7
People,Excited Concertgoers,2,19,7
People,Excited Crowed,2,13,7
People,Excited Folks,2,12,7
People,Excited Newlyweds,2,16,7
People,Excited Tourist,2,14,7
People,Excited Tourists,2,15,7
People,Exclusive Shop,2,13,9
People,Expansion Team,2,13,9
People,Expectant Mothers,2,16,9
People,Experienced Cyclists,2,19,11
People,Experienced Divers,2,17,11
People,Experienced Drivers,2,18,11
People,Experienced Mountain Bikers,3,25,11
People,Experienced Surfers,2,18,11
People,Expert Appraisers,2,16,6
People,Expert Climbers,2,14,6
People,Expert Hiker,2,11,6
People,Expert Hikers,2,12,6
People,Experts In The Industry,4,20,7
People,Extended Family,2,14,8
People,Extraordinary Mariners,2,21,13
People,Fabulous Dance Instructor,3,23,8
People,Fabulous Storytellers,2,20,8
People,Facebook Friends,2,15,8
People,Fact-Finding Committee,2,20,11
People,Factory Workers,2,14,7
People,Faculty & Staff,2,12,7
People,Fairy-Tale Princess,2,17,9
People,Faithful Gym-Goers,2,16,8
People,Family Ancestors,2,15,6
People,Family Bluegrass Band,3,19,6
People,Family Members,2,13,6
People,Family Of Acrobats,3,16,6
People,Family Physician,2,15,6
People,Famous Artists,2,13,6
People,Famous Celebrities,2,17,6
People,Famous Chemists,2,14,6
People,Famous Chess Champions,3,20,6
People,Famous Duets,2,11,6
People,Famous Fashion Designers,3,22,6
People,Famous Fashion Icons,3,18,6
People,Famous Figures,2,13,6
People,Famous Inventors,2,15,6
People,Famous Magicians,2,15,6
People,Famous Outlaws,2,13,6
People,Famous People Who Share My Birthday,6,30,6
People,Famous Women,2,11,6
People,Famous Writer,2,12,6
People,Fan Club,2,7,3
People,Fanatical Fans,2,13,9
People,Fans Cheering In The Stands,5,23,4
People,Fans Of The Show,4,13,4
People,Fantasy Football League,3,21,7
People,Farm Hands,2,9,4
People,Farmers,1,7,7
People,Farmers & Fishmongers,2,18,7
People,Fashion Critic,2,13,7
People,Fashion Insiders,2,15,7
People,Fashionable People,2,17,11
People,Fashion-Industry Insider,2,22,15
People,Fast Friends,2,11,4
People,Fast- Talking Salesman,3,19,4
People,Fast Walkers,2,11,4
People,Fast-Talkers,1,11,11
People,Father Figure,2,12,6
People,Fathers & Sons,2,11,7
People,Favorite Cousin,2,14,8
People,Favorite Cousins,2,15,8
People,Favorite Son,2,11,8
People,Favorite Teacher,2,15,8
People,Favorite Writer,2,14,8
People,Federal Investigators,2,20,7
People,Federal Officer,2,14,7
People,Federal Officers,2,15,7
People,Fellow,1,6,6
People,Fellow Artists,2,13,6
People,Fellow Band Members,3,17,6
People,Fellow Classmates,2,16,6
People,Fellow Teammates,2,15,6
People,Fellow Travelers,2,15,6
People,Fellow Yogis,2,11,6
People,Female Band Members,3,17,6
People,Female Coworkers,2,15,6
People,Ferrari Formula One Drivers,4,24,7
People,Festival-Goers,1,13,13
People,Fierce Warriors,2,14,6
People,Fife & Drum Corps,3,13,4
People,Figure Skaters,2,13,6
People,Figure-Skating Champions,2,22,13
People,Film Fans,2,8,4
People,Film Lovers,2,10,4
People,Finalists,1,9,9
People,Fine Folks,2,9,4
People,First Baseman,2,12,5
People,First Cousins,2,12,5
People,First-Round Selections In The Nfl Draft,6,33,10
People,First-Time Homebuyers,2,19,9
People,First-Time Visitors,2,17,9
People,Fishermen,1,9,9
People,Fishing Buddies,2,14,7
People,Fishing Enthusiasts,2,18,7
People,Fit Man & Woman,3,11,3
People,Fit Men & Women,3,11,3
People,Fitting Opponent,2,15,7
People,Five-Star Generals,2,16,8
People,Flamco Dancer,2,12,6
People,Flapper Women,2,12,7
People,Flappers,1,8,8
People,Flash Mobs,2,9,5
People,Flemish Community,2,16,7
People,Flight Crew,2,10,6
People,Flight-Test Squadron,2,18,10
People,Floral Designers,2,15,6
People,Flower Children,2,14,6
People,Flower Girl & Ring Bearer,4,20,6
People,Fly-Fishers,1,10,10
People,Focus Group,2,10,5
People,Folk Dancers,2,11,4
People,Folk Heroes,2,10,4
People,Food Enthusiasts,2,15,4
People,Food Expert Padma Lakshmi,4,22,4
People,Food Vendors,2,11,4
People,Foodies,1,7,7
People,Foot Doctor,2,10,4
People,Football Fans,2,12,8
People,Football Jock,2,12,8
People,Football League,2,14,8
People,Football Players & Cheerleaders,3,27,8
People,Football Team,2,12,8
People,Foreign Allies,2,13,7
People,Foreign Dignitaries,2,18,7
People,Foreign Diplomats,2,16,7
People,Foreign Investors,2,16,7
People,Foreign Leaders,2,14,7
People,Foreign Press,2,12,7
People,Former Ceos,2,10,6
People,Former Chiefs Of Staff,4,19,6
People,Former Child Stars,3,16,6
People,Former Employees,2,15,6
People,Former First Ladies,3,17,6
People,Former U.S. Presidents,3,18,6
People,Fortuneteller,1,13,13
People,Founding Fathers,2,15,8
People,Franciscan Monks,2,15,10
People,Fraternal Twins,2,14,9
People,Fraternity Brothers,2,18,10
People,Freedmen,1,8,8
People,Freedom Riders,2,13,7
People,French Candymakers,2,17,6
People,French Journalists,2,17,6
People,French Millionaires,2,18,6
People,Frequent Customers,2,17,8
People,Fresh Faces,2,10,5
People,Freshmen,1,8,8
People,Freshmen & Sophomores,2,18,8
People,Freshmen And Sophomores,3,21,8
People,Friendly Amazonians,2,18,8
People,Friendly Arizonans,2,17,8
People,Friendly Bartenders,2,18,8
People,Friendly Bet Takers,3,17,8
People,Friendly Campmates,2,17,8
People,Friendly Coworkers,2,17,8
People,Friendly Families,2,16,8
People,Friendly Flight Crew,3,18,8
People,Friendly Florists,2,16,8
People,Friendly Houseguests,2,19,8
People,Friendly Multilingual Staff,3,25,8
People,Friendly Neighbors,2,17,8
People,Friendly Oregonians,2,18,8
People,Friendly Parisians,2,17,8
People,Friendly Park Staff,3,17,8
People,Friendly Ranger Staff,3,19,8
People,Friendly Roommates,2,17,8
People,Friendly Sales Associates,3,23,8
People,Friendly Shopkeepers,2,19,8
People,Friendly Staff,2,13,8
People,Friendly Texans,2,14,8
People,Friendly Trained Tour Guides,4,25,8
People,Friendly Walking Vendors,3,22,8
People,Friendly Welcoming Staff,3,22,8
People,Friends & Acquaintances,2,20,7
People,Friends & Associates,2,17,7
People,Friends & Companions,2,17,7
People,Friends & Family,2,13,7
People,Friends & Foes,2,11,7
People,Friends & Neighbors,2,16,7
People,Friends & Relatives,2,16,7
People,Friends And Companions,3,20,7
People,Friends And Family,3,16,7
People,Friends In High Places,4,19,7
People,Friends Of The Bride,4,17,7
People,Frolicking Kids,2,14,10
People,Frontiersmen,1,12,12
People,Full Crowd,2,9,4
People,Fullback & Halfback,2,16,8
People,Full-Grown Children,2,17,9
People,Full-Time Employees,2,17,8
People,Fun Crew,2,7,3
People,Fun Network Of Friends,4,19,3
People,Fun Party Guests,3,14,3
People,Funny Character Actresses,3,23,5
People,Funny Clowns,2,11,5
People,Funny Comedians,2,14,5
People,Funny Contestants,2,16,5
People,Future Business Leaders,3,21,6
People,Future Generations,2,17,6
People,Futuristic Entrepreneurs,2,23,10
People,Futuristic Thinkers,2,18,10
People,Futurologists,1,13,13
People,Game Officials,2,13,4
People,Game Show Audience,3,16,4
People,Game Show Contestants,3,19,4
People,Game-Show Contestants,2,19,8
People,Gaming Community,2,15,6
People,Garage Band,2,10,6
People,Garage Bands,2,11,6
People,Garlic Wings,2,11,6
People,Geek Girls,2,9,4
People,Geeks & Nerds,2,10,5
People,Geminis,1,7,7
People,General Public,2,13,7
People,Generation X,2,11,10
People,Generous Friends,2,15,8
People,Geraldo & Chita Rivera,3,18,7
People,German Oompah Band,3,16,6
People,Ghostwriters,1,12,12
People,Giggling Children,2,16,8
People,Giggling Girlfriends,2,19,8
People,Girl Scouts,2,10,4
People,Glamor Girls,2,11,6
People,Glamorous Showgirls,2,18,9
People,Glamour Girls,2,12,7
People,Glee Club,2,8,4
People,Glittering Costumes,2,18,10
People,Globe Trekkers,2,13,5
People,Globetrotting Couple,2,19,13
People,Godfather & Godmother,2,18,9
People,Gold Prospectors,2,15,4
People,Gold Silver And Bronze Medalists,5,28,4
People,Gold-Medal Olympians,2,18,9
People,Golf Foursome,2,12,4
People,Golf Partners,2,12,4
People,Golf Pro,2,7,4
People,Golf Pros,2,8,4
People,Golfing Legend,2,13,7
People,Gondolier,1,9,9
People,Good Buddies,2,11,4
People,Good Carpenters,2,14,4
People,Good Clean Fun,3,12,4
People,Good Cook,2,8,4
People,Good Cooks,2,9,4
People,Good Friend,2,10,4
People,Good Friends,2,11,4
People,Good Guitarist,2,13,4
People,Good Parents,2,11,4
People,Good Students,2,12,4
People,Good Workers,2,11,4
People,Good-Looking Couple,2,17,11
People,Good-Time Charlie,2,15,8
People,Goodwill Ambassador,2,18,8
People,Governing Body,2,13,9
People,Government Officials,2,19,10
People,Graceful Dancers,2,15,8
People,Gracious Staff,2,13,8
People,Graduate Students,2,16,8
People,Graduating Class,2,15,10
People,Graffiti Artist,2,14,8
People,Grammy Award Nominees,3,19,6
People,Grammy Award Presenters,3,21,6
People,Grammy Winning Songwriters,3,24,6
People,Grammy-Winning Singers,2,20,13
People,Grammy-Winning Songwriter,2,23,13
People,Grammy-Winning Songwriters,2,24,13
People,Grand Jury,2,9,5
People,Grand Prize Winners,3,17,5
People,Grandchildren,1,13,13
People,Grandkids,1,9,9
People,Grandma & Grandpa,2,14,7
People,Grandmother & Grandfather,2,22,11
People,Grandmothers & Grandfathers,2,24,12
People,Grandparents,1,12,12
People,Grand-Prize Winners,2,17,10
People,Grape-Growers,1,12,12
People,Great American Citizens,3,21,5
People,Great American Leaders,3,20,5
People,Great Athletes,2,13,5
People,Great Authors,2,12,5
People,Great Crew,2,9,5
People,Great Customers,2,14,5
People,Great Friends,2,12,5
People,Great Friends & Teammates,3,21,5
People,Great Grandparent,2,16,5
People,Great Idea,2,9,5
People,Great Job,2,8,5
People,Great Orators,2,12,5
People,Great Patriots,2,13,5
People,Great Poets,2,10,5
People,Great Team,2,9,5
People,Great-Great Grandparents,2,22,10
People,Great-Great-Grandparents,1,22,22
People,Greek Dancers,2,12,5
People,Greek Philosophers,2,17,5
People,Greek Roman Catholic,3,18,5
People,Greek Roman Catholics,3,19,5
People,Greeks & Romans,2,12,6
People,Green Berets,2,11,5
People,Groomsmen,1,9,9
People,Ground Crew,2,10,6
People,Group Of Children,3,15,5
People,Group Of Reporters,3,16,5
People,Groupie,1,7,7
People,Growing Boy,2,10,7
People,Grown-Ups,1,8,8
People,Grown-Ups & Children,2,16,8
People,Grumpy Old Man,3,12,6
People,Grunge Band,2,10,6
People,Grunge Rockers,2,13,6
People,Guards & Tackles,2,13,6
People,Guest Relations,2,14,5
People,Guided Tour Group,3,15,6
People,Gym Goers,2,8,3
People,Gym Members,2,10,3
People,Gym-Goers,1,8,8
People,Gymnastics Team,2,14,10
People,Halfback,1,8,8
People,Hall Of Famers,3,12,4
People,Han Dynasty,2,10,3
People,Handpicked Participants,2,22,10
People,Handsome Couple,2,14,8
People,Handsome Dude,2,12,8
People,Handsome Leading Men,3,18,8
People,Handsome Strangers,2,17,8
People,Handsome Waiters,2,15,8
People,Hang Gliders,2,11,4
People,Happily Married Couple,3,20,7
People,Happy Babies,2,11,5
People,Happy Campers,2,12,5
People,Happy Child,2,10,5
People,Happy Crowd,2,10,5
People,Happy Family,2,11,5
People,Happy Folks,2,10,5
People,Happy Hipsters,2,13,5
People,Happy Homemakers,2,15,5
People,Happy Kids,2,9,5
People,Happy Owners,2,11,5
People,Happy Participants,2,17,5
People,Happyowners,1,11,11
People,Hard Workers,2,11,4
People,Hard-Working Individuals,2,22,11
People,Hardworking Staff,2,16,11
People,Harmonica Players,2,16,9
People,Harpist,1,7,7
People,Harshest Critic,2,14,8
People,Head Of The Class,4,14,4
People,Health Expert,2,12,6
People,Health Inspectors,2,16,6
People,Heartthrobs,1,11,11
People,Heavily Guarded Vault,3,19,7
People,Heisman Trophy Winner,3,19,7
People,Helpful Locals,2,13,7
